|order_completed_at_category|phone_id|all_product_price_sum|all_product_price_count|avg_prive
0|2020-02|2|7071.740047454834|2|3535.870023727417
1|2020-02|6|22540.809936523438|2|11270.404968261719
2|2020-02|8|5604.880001068115|1|5604.880001068115
3|2020-02|16|15309.810094833374|4|3827.4525237083435
4|2020-02|20|6627.4500370025635|2|3313.7250185012817
5|2020-02|23|4489.060053825378|2|2244.530026912689
6|2020-02|49|3989.9199924468994|1|3989.9199924468994
7|2020-02|65|3360.239999771118|1|3360.239999771118
8|2020-02|81|10558.559999465942|2|5279.279999732971
9|2020-02|83|2333.1000080108643|1|2333.1000080108643
10|2020-02|97|3460.040008544922|1|3460.040008544922
11|2020-02|102|3131.399995803833|2|1565.6999979019165
12|2020-02|111|13058.890080690384|2|6529.445040345192
13|2020-02|125|16380.940114021301|4|4095.2350285053253
14|2020-02|126|71613.72973823547|24|2983.9054057598114
15|2020-02|140|2138.1400051116943|1|2138.1400051116943
16|2020-02|148|4350.069976806641|1|4350.069976806641
17|2020-02|152|1625.7299880981445|1|1625.7299880981445
18|2020-02|159|11590.96004486084|1|11590.96004486084
19|2020-02|183|12791.860025405884|4|3197.965006351471
20|2020-02|185|41573.42005157471|4|10393.355012893677
21|2020-02|186|25641.700120925903|2|12820.850060462952
22|2020-02|218|18338.37001800537|4|4584.592504501343
23|2020-02|221|1552.229995727539|1|1552.229995727539
24|2020-02|240|9634.510013580322|2|4817.255006790161
25|2020-02|243|10461.400003433228|3|3487.1333344777427
26|2020-02|248|2408.730010986328|1|2408.730010986328
27|2020-02|258|1873.1500072479248|1|1873.1500072479248
28|2020-02|273|26869.230018615723|5|5373.846003723144
29|2020-02|274|3958.4500427246094|1|3958.4500427246094
30|2020-02|297|1907.6300010681152|1|1907.6300010681152
31|2020-02|307|42074.750062942505|11|3824.9772784493184
32|2020-02|316|23522.840015411377|4|5880.710003852844
33|2020-02|324|2798.7899856567383|1|2798.7899856567383
34|2020-02|334|8304.900043487549|1|8304.900043487549
35|2020-02|338|9854.439935684204|3|3284.813311894735
36|2020-02|359|2400.1500339508057|1|2400.1500339508057
37|2020-02|360|13279.72995185852|2|6639.86497592926
38|2020-02|368|12037.939945220947|2|6018.969972610474
39|2020-02|379|5908.959991455078|2|2954.479995727539
40|2020-02|387|6674.530019760132|1|6674.530019760132
41|2020-02|400|8299.710060119629|2|4149.855030059814
42|2020-02|422|204933.33561325073|1|204933.33561325073
43|2020-02|425|1567.610013961792|1|1567.610013961792
44|2020-02|428|6221.519992828369|1|6221.519992828369
45|2020-02|431|2066.320020675659|1|2066.320020675659
46|2020-02|440|14360.520105361938|3|4786.8400351206465
47|2020-02|452|2536.0300216674805|1|2536.0300216674805
48|2020-02|454|14202.189958572388|3|4734.063319524129
49|2020-02|462|11593.229982614517|2|5796.614991307259
50|2020-02|468|10917.559982299805|2|5458.779991149902
51|2020-02|482|12791.320029973984|4|3197.830007493496
52|2020-02|483|7921.8199825286865|1|7921.8199825286865
53|2020-02|486|13382.910057067871|1|13382.910057067871
54|2020-02|501|36685.61990737915|10|3668.561990737915
55|2020-02|504|19676.58992767334|6|3279.431654612223
56|2020-02|512|34420.46008968353|8|4302.557511210442
57|2020-02|527|24567.830075263977|4|6141.957518815994
58|2020-02|540|3633.159984588623|2|1816.5799922943115
59|2020-02|565|17195.36002445221|5|3439.072004890442
60|2020-02|573|6370.129985809326|1|6370.129985809326
61|2020-02|574|12918.759991645813|2|6459.3799958229065
62|2020-02|579|2133.770004272461|1|2133.770004272461
63|2020-02|583|65444.32006072998|2|32722.16003036499
64|2020-02|585|2541.279998779297|1|2541.279998779297
65|2020-02|596|26545.310075759888|4|6636.327518939972
66|2020-02|597|6754.779979705811|2|3377.3899898529053
67|2020-02|605|2035.9399852752686|1|2035.9399852752686
68|2020-02|607|7253.060035705566|2|3626.530017852783
69|2020-02|620|4134.6000118255615|1|4134.6000118255615
70|2020-02|625|8628.820030212402|5|1725.7640060424806
71|2020-02|646|13659.74007320404|5|2731.948014640808
72|2020-02|648|5478.259941101074|1|5478.259941101074
73|2020-02|651|4462.019994735718|2|2231.009997367859
74|2020-02|655|32296.399948120117|4|8074.099987030029
75|2020-02|669|7644.650007247925|2|3822.3250036239624
76|2020-02|675|9287.470001220703|1|9287.470001220703
77|2020-02|677|2373.479986190796|1|2373.479986190796
78|2020-02|691|29348.78988456726|8|3668.5987355709076
79|2020-02|692|18408.41993713379|5|3681.683987426758
80|2020-02|702|2662.7499809265137|1|2662.7499809265137
81|2020-02|703|29707.12017440796|4|7426.78004360199
82|2020-02|709|20359.780029296875|3|6786.593343098958
83|2020-02|710|8654.210046768188|4|2163.552511692047
84|2020-02|711|22456.590021133423|4|5614.147505283356
85|2020-02|716|7063.689979553223|1|7063.689979553223
86|2020-02|727|6656.009960174561|2|3328.0049800872803
87|2020-02|742|8423.390027999878|2|4211.695013999939
88|2020-02|743|1628.1700248718262|1|1628.1700248718262
89|2020-02|757|16512.60001373291|3|5504.200004577637
90|2020-02|767|3116.169994354248|1|3116.169994354248
91|2020-02|775|17969.569997787476|5|3593.913999557495
92|2020-02|781|1390.2399940490723|1|1390.2399940490723
93|2020-02|790|7192.490009307861|1|7192.490009307861
94|2020-02|791|22111.93013572693|3|7370.643378575643
95|2020-02|804|5077.630012512207|1|5077.630012512207
96|2020-02|810|36872.319984436035|4|9218.079996109009
97|2020-02|817|26560.400089263916|10|2656.0400089263917
98|2020-02|829|26936.269958496094|3|8978.756652832031
99|2020-02|831|11565.340030670166|4|2891.3350076675415
100|2020-02|841|7466.059999465942|2|3733.029999732971
101|2020-02|843|15985.660171508789|2|7992.8300857543945
102|2020-02|862|11856.280044555664|3|3952.093348185221
103|2020-02|865|1087.6699905395508|1|1087.6699905395508
104|2020-02|867|11868.69005203247|4|2967.1725130081177
105|2020-02|874|5117.260011672974|3|1705.7533372243245
106|2020-02|875|5611.970016479492|1|5611.970016479492
107|2020-02|880|4221.960021972656|1|4221.960021972656
108|2020-02|882|12520.0600233078|5|2504.0120046615602
109|2020-02|891|10476.689973831177|2|5238.344986915588
110|2020-02|894|7904.110017776489|2|3952.0550088882446
111|2020-02|896|13506.70998954773|3|4502.236663182576
112|2020-02|898|14170.419982910156|2|7085.209991455078
113|2020-02|900|1660.5500030517578|1|1660.5500030517578
114|2020-02|911|1510.2000045776367|1|1510.2000045776367
115|2020-02|914|3615.029987335205|1|3615.029987335205
116|2020-02|918|8420.750017166138|2|4210.375008583069
117|2020-02|919|24342.929988861084|1|24342.929988861084
118|2020-02|925|2305.810001373291|1|2305.810001373291
119|2020-02|938|18785.28997039795|3|6261.763323465983
120|2020-02|944|9721.619995117188|2|4860.809997558594
121|2020-02|953|3092.249988555908|1|3092.249988555908
122|2020-02|962|21700.270000457764|3|7233.423333485921
123|2020-02|967|9466.030059814453|1|9466.030059814453
124|2020-02|972|22326.35019683838|7|3189.47859954834
125|2020-02|974|6153.070022583008|1|6153.070022583008
126|2020-02|998|13856.370023727417|4|3464.0925059318542
127|2020-02|1004|13209.44999885559|3|4403.14999961853
128|2020-02|1005|1542.9300003051758|1|1542.9300003051758
129|2020-02|1029|5844.690017700195|3|1948.2300059000652
130|2020-02|1040|15061.040050506592|5|3012.2080101013185
131|2020-02|1041|16362.19006729126|2|8181.09503364563
132|2020-02|1049|5735.909994125366|1|5735.909994125366
133|2020-02|1059|22246.94003677368|5|4449.388007354736
134|2020-02|1067|2108.369954109192|1|2108.369954109192
135|2020-02|1078|2159.3400115966797|1|2159.3400115966797
136|2020-02|1095|4106.230024337769|2|2053.1150121688843
137|2020-02|1098|7634.68998336792|2|3817.34499168396
138|2020-02|1109|3430.7800121307373|1|3430.7800121307373
139|2020-02|1118|6129.010000228882|1|6129.010000228882
140|2020-02|1120|24857.06022787094|5|4971.412045574189
141|2020-02|1127|79463.54002189636|5|15892.708004379272
142|2020-02|1169|3783.900005340576|1|3783.900005340576
143|2020-02|1188|7861.0100173950195|1|7861.0100173950195
144|2020-02|1189|9917.339968681335|1|9917.339968681335
